Vendor,Vendor Style #,UPC,Title,Description (HTML),Brand,Fulfillment Type,Department,CC Color (LMD),Size,CC Retail,MSRP,Cost/% Rev Share,Quantity Available,Accumula,1-Class,2-Subclass,3-Payment Type,4-Material Type,5-Season Code,6-Aesthetic Range,7-Pattern/Length,8-Sale,9-Collection,Future Tag 1,Future Tag 2,Primary Color,Feature1 (Amazon),Feature2 (Amazon),Feature3 (Amazon),Keywords (Amazon),Height (in),Width (in),Length,Amazon Retail,01 -1 Cumberland Mall - Quantity on Hand,02 -1 Mall in Columbia - Quantity on Hand,03 - 1  Towson Town Center - Quantity on Hand,04 - 1 TBD - Quantity on Hand,05 - 1 TBD - Quantity on Hand,06 - 1 TBD - Quantity on Hand,07 -1 TBD - Quantity on Hand,08 - 1 TBD - Quantity on Hand,09-1 TBD - Quantity on Hand,10 -1  TBD - Quantity on Hand,11 -1  TBD - Quantity on Hand,12 -1 TBD - Quantity on Hand,13 -1 TBD - Quantity on Hand,14 -1  TBD - Quantity on Hand,15 -1  TBD - Quantity on Hand,16 -1  TBD - Quantity on Hand,17 -1  TBD - Quantity on Hand,0-Shopify - Quantity on Hand
Wona Trading,484706,840137819911,Rhinestone Embellished American Flag Face Mask," <div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Rhinestone American Flag</li>
<li>Reusable and Washable</li>
<li>Adjustable Ear Strap</li>
<li>Not Intended For Medical Use</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,BLUE MEDIUM,,$16.00,,$4.73,,,1-Masks,2-Single,3-Cash,4-Rhinestone,5-None,6-Classic,7-Studded,8-None,9-None,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,72
Wona Trading,485338,840137819928,Pastel Multicolor Sequin Face Mask," <div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Handwash Only </li>
<li>Cotton Lining </li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Multi,,$14.00,,$2.70,,,1-Masks,2-Single,3-Cash,4-Sequin,5-None,6-Classic,7-Tie-Dye,8-None,9-None,,,Multi,,,,,,,,,,,,,,,,,,,,,,,,,,84
Wona Trading,484954,840137819935,Vote Democrat Face Mask - Black," <div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Washable and Reusable </li>
<li>100% Cotton </li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Black,,$9.00,,$2.25,,,1-Masks,2-Single,3-Cash,4-Cotton,5-None,6-Classic,7-Animal,8-None,9-None,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,96
Wona Trading,484689,840137819942,Vote Democrat Face Mask - White," <div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Washable and Reusable </li>
<li>100% Cotton </li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,White,,$9.00,,$2.25,,,1-Masks,2-Single,3-Cash,4-Cotton,5-None,6-Classic,7-Animal,8-None,9-None,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,96
Wona Trading,484955,840137819959,Vote Republican Face Mask - Black," <div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Washable and Reusable </li>
<li>100% Cotton </li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Black,,$9.00,,$2.25,,,1-Masks,2-Single,3-Cash,4-Cotton,5-None,6-Classic,7-Animal,8-None,9-None,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,60
Wona Trading,484690,840137819966,Vote Republican Face Mask - White," <div><strong>*NON REFUNDABLE DUE TO PRODUCT CONTENT.</strong></div>
<ul>
<li>Washable and Reusable </li>
<li>100% Cotton </li>
<li>Adjustable Ear Strap</li>
<li>Has Filter Pocket/Filter Not Included </li>
<li>Not Intended For Medical Use</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,White,,$9.00,,$2.25,,,1-Masks,2-Single,3-Cash,4-Cotton,5-None,6-Classic,7-Animal,8-None,9-None,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,60
Wona Trading,484673,840137819973,Mini Metal Star Face Mask Chain," <ul>
<li>Size: 0.25” H, 24” L</li>
<li>Brass</li>
<li>Mask NOT Included</li>
<li>Lead and Nickel Compliant</li>
</ul>  ",Charming Charlie,skubana-fullfillment,Accessories,Gold,,$12.00,,$3.38,,,1-Masks,2-Single,3-Cash,4-Seedbead,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,31
Wona Trading,485542,840137819980,Multicolor Seed Bead Face Mask Chain," <ul>
<li>Size: 3mm, 24” L</li>
<li>Lead and Nickel Compliant</li>
<li>Colorful Seed Beaded Mask Chain</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Multi,,$10.00,,$2.70,,,1-Masks,2-Single,3-Cash,4-Seedbead,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Multi,,,,,,,,,,,,,,,,,,,,,,,,,,36
Wona Trading,485544,840137819997,Black Seed Bead Face Mask Chain," <ul>
<li>Size: 3mm, 24” L</li>
<li>Lead and Nickel Compliant</li>
<li>Seed Beaded Mask Chain</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Black,,$10.00,,$2.70,,,1-Masks,2-Single,3-Cash,4-Seedbead,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,24
Wona Trading,485547,840137820009,Silver Butterfly Face Mask Chain," <ul>
<li>Size: 0.25” H, 24” L</li>
<li>Multi Use</li>
<li>Lead and Nickel Compliant</li>
</ul> ",Charming Charlie,skubana-fullfillment,Accessories,Silver,,$12.00,,$3.38,,,1-Masks,2-Single,3-Cash,4-Metal,5-None,6-Classic,"7-XL (3"" +)",8-None,9-None,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,24
